Angle,PSD
32.2912,42
32.3065,53
32.3219,55
32.3372,44
32.3525,49
32.3679,62
32.3832,43
32.3985,37
32.4139,45
32.4292,48
32.4445,47
32.4599,32
32.4752,42
32.4905,31
32.5058,31
32.5212,31
32.5365,47
32.5518,45
32.5672,47
32.5825,37
32.5978,44
32.6132,49
32.6285,43
32.6438,42
32.6592,36
32.6745,60
32.6898,39
32.7052,61
32.7205,42
32.7358,52
32.7512,39
32.7665,48
32.7818,43
32.7972,42
32.8125,46
32.8278,51
32.8432,60
32.8585,47
32.8738,68
32.8892,60
32.9045,54
32.9198,66
32.9351,60
32.9505,65
32.9658,72
32.9811,75
32.9965,74
33.0118,62
33.0271,60
33.0425,59
33.0578,74
33.0731,57
33.0885,50
33.1038,57
33.1191,50
33.1345,70
33.1498,65
33.1651,63
33.1805,73
33.1958,47
33.2111,55
33.2265,50
33.2418,53
33.2571,62
33.2725,58
33.2878,52
33.3031,56
33.3184,62
33.3338,51
33.3491,63
33.3644,52
33.3798,55
33.3951,72
33.4104,72
33.4258,53
33.4411,55
33.4564,63
33.4718,79
33.4871,84
33.5024,81
33.5178,86
33.5331,80
33.5484,94
33.5638,98
33.5791,108
33.5944,113
33.6098,128
33.6251,166
33.6404,204
33.6558,297
33.6711,401
33.6864,512
33.7018,736
33.7171,1267
33.7324,1831
33.7477,1875
33.7631,1640
33.7784,2228
33.7937,3801
33.8091,5243
33.8244,4037
33.8397,2048
33.8551,1277
33.8704,1401
33.8857,2139
33.9011,2338
33.9164,1295
33.9317,552
33.9471,340
33.9624,238
33.9777,197
33.9931,165
34.0084,141
34.0237,131
34.0391,102
34.0544,113
34.0697,106
34.0851,108
34.1004,96
34.1157,87
34.1311,84
34.1464,101
34.1617,102
34.177,96
34.1924,102
34.2077,87
34.223,87
34.2384,100
34.2537,85
34.269,84
34.2844,77
34.2997,88
34.315,98
34.3304,95
34.3457,85
34.361,100
34.3764,88
34.3917,95
34.407,76
34.4224,88
34.4377,93
34.453,95
34.4684,112
34.4837,103
34.499,149
34.5144,160
34.5297,237
34.545,346
34.5603,498
34.5757,560
34.591,639
34.6063,880
34.6217,1404
34.637,1677
34.6523,1452
34.6677,841
34.683,612
34.6983,596
34.7137,798
34.729,871
34.7443,673
34.7597,325
34.775,215
34.7903,152
34.8057,130
34.821,93
34.8363,108
34.8517,97
34.867,107
34.8823,96
34.8977,102
34.913,82
34.9283,90
34.9437,95
34.959,70
34.9743,82
34.9896,88
35.005,82
35.0203,75
35.0356,77
35.051,86
35.0663,83
35.0816,89
35.097,94
35.1123,102
35.1276,126
35.143,130
35.1583,130
35.1736,114
35.189,87
35.2043,92
35.2196,99
35.235,108
35.2503,93
35.2656,85
35.281,70
35.2963,74
35.3116,54
35.327,50
35.3423,63
35.3576,54
35.3729,64
35.3883,46
35.4036,46
35.4189,48
35.4343,52
35.4496,46
35.4649,43
35.4803,57
35.4956,50
35.5109,47
35.5263,32
35.5416,45
35.5569,52
35.5723,39
35.5876,65
35.6029,40
35.6183,62
35.6336,58
35.6489,55
35.6643,54
35.6796,63
35.6949,52
35.7103,52
35.7256,57
35.7409,35
35.7563,55
35.7716,57
35.7869,56
35.8022,49
35.8176,81
35.8329,71
35.8482,80
