,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4
58,58,292.1658291457286,1.2554970566785855,0.8605956800000226,0.39490137667856284,5.977463996319445,5.9304217902083325,0.04704220611111243,10.951130181597222,10.949688207708334,0.00144197388888756,15.92361375263889,15.969866267916665,-0.046252515277775075,20.650796602650807,21.04086286875,-0.39006626609919337
59,59,297.1859296482412,1.2539186169563634,0.8595227834722446,0.3943958334841188,5.976066752569444,5.9281139806944445,0.04795277187499991,10.947907622708335,10.94516673375,0.0027408889583355744,15.91934899965278,15.965278757430553,-0.04592975777777397,20.646595480220256,21.03550429111111,-0.38890881089085383
60,60,302.20603015075375,1.2532183863313633,0.8607254266666864,0.3924929596646769,5.975793265763889,5.927200882222222,0.04859238354166617,10.947809902222223,10.945134603611113,0.0026752986111109323,15.918561332916665,15.965208340625004,-0.04664700770833896,20.646091306470254,21.034668621875003,-0.38857731540474916
61,61,307.2261306532663,1.2574229850813632,0.8685364931944611,0.38888649188690205,5.979775079097223,5.933915725902779,0.04585935319444445,10.954408591736112,10.951328841319445,0.003079750416667082,15.925109481041666,15.971205483750001,-0.04609600270833525,20.64916202890081,21.04009768979167,-0.3909356608908574
62,62,312.2462311557789,1.2511593025099321,0.8619350410416879,0.3892242614682442,5.970331597916667,5.927159703611111,0.0431718943055559,10.94610121923611,10.943815632361114,0.0022855868749971364,15.91743576923611,15.963077297152779,-0.04564152791666842,20.643029540569458,21.03380781277778,-0.3907782722083226
63,63,317.26633165829145,1.2515550197341412,0.8620054543055714,0.3895495654285698,5.973021638680556,5.928434631458334,0.044587007222221864,10.946550999166668,10.946381167708333,0.0001698314583347127,15.91841886375,15.964464882638891,-0.04604601888889093,20.64347600619446,21.036222443263892,-0.39274643706943024
64,64,322.286432160804,1.252842209109141,0.8627639715972378,0.39007823751190307,5.977956213472222,5.931635078333334,0.04632113513888836,10.947917429305555,10.948205757291667,-0.00028832798611233557,15.917322730138888,15.96577393875,-0.048451208611112406,20.644273701541685,21.038454146319445,-0.39418044477775993
65,65,327.30653266331655,1.25172231862303,0.8605723713889036,0.3911499472341263,5.977377291388889,5.9302874192361115,0.04708987215277727,10.9474962175,10.949401655694444,-0.0019054381944449972,15.918222127499998,15.965874830138887,-0.047652702638888655,20.64634588834128,21.03905086138889,-0.39270497304761065
66,66,332.3266331658291,1.2609002190396967,0.8680785415277982,0.39282167751189856,5.987468701597223,5.938815873263889,0.048652828333334064,10.955384780625,10.957841946875,-0.0024571662500001423,15.927231780833333,15.973726665208334,-0.04649488437500082,20.6533171240397,21.04563024215278,-0.3923131181130799
67,67,337.3467336683417,1.2531903280674745,0.862208830069461,0.3909814979980135,5.980977963541667,5.933110912083333,0.0478670514583337,10.952291261597223,10.953336526597221,-0.001045264999998352,15.924669535972223,15.970914151180555,-0.04624461520833201,20.652558029803586,21.04166578722222,-0.38910775741863546
68,68,342.36683417085425,1.2546084527202523,0.8630433674305709,0.3915650852896815,5.981157494861112,5.933232562986111,0.047924931875000354,10.951948747708334,10.953371533194446,-0.0014227854861115219,15.924536533472223,15.970635971250001,-0.04609943777777836,20.651766566678585,21.03900283715278,-0.38723627047419384
69,69,347.3869346733668,1.2530063668174745,0.8635054054166864,0.38950096140078805,5.980839246041667,5.932268634791667,0.04857061124999973,10.953603433541666,10.953101884166667,0.0005015493749986888,15.925922857361112,15.972355007083333,-0.04643214972222154,20.65329553820835,21.040828503055554,-0.38753296484720323
70,70,352.4070351758794,1.2442376493849325,0.8572815251389128,0.3869561242460198,5.971880146736112,5.924586830069445,0.04729331666666692,10.945879142986112,10.94414944138889,0.0017297015972221885,15.918778362638887,15.965364054513891,-0.04658569187500383,20.64589356500993,21.034374773333333,-0.3884812083234017
