,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
81,81,407.62814070351754,1.252390318359375,0.8767099739453464,0.37568034441402853,5.874261837324158,5.875349330273438,-0.001087492949279678,10.50236931890625,10.878653722421877,-0.3762844035156263
82,82,412.6482412060301,1.2540263948828125,0.8799804915625327,0.37404590332027987,5.877590479394471,5.880453857148438,-0.0028633777539663896,10.5058007809375,10.882134696914061,-0.3763339159765611
83,83,417.6683417085427,1.2554417158203126,0.8815780096094078,0.3738637062109048,5.879480099277285,5.883431751875,-0.003951652597715238,10.507582535742188,10.883881606835939,-0.3762990710937508
84,84,422.68844221105525,1.254192028203125,0.8816582755859712,0.3725337526171537,5.881810492265625,5.8838873971875,-0.002076904921874956,10.50684859171875,10.883130504492186,-0.37628191277343603
85,85,427.7085427135678,1.2552361815625002,0.8809906826172207,0.3742454989452795,5.881056398593989,5.882238572812501,-0.0011821742185116335,10.505725993320313,10.881137428671874,-0.37541143535156074
86,86,432.7286432160804,1.25101019703125,0.8787830218359705,0.3722271751952795,5.8777994423046875,5.878469297773438,-0.0006698554687503133,10.50371001263666,10.878318822460939,-0.374608809824279
87,87,437.74874371859295,1.248379026640625,0.8779020312109684,0.3704769954296565,5.874991234882813,5.876965210625,-0.0019739757421870507,10.504267213124999,10.878641521992186,-0.37437430886718737
88,88,442.7688442211055,1.2465945475194715,0.8753966594922196,0.37119788802725195,5.871845602597716,5.874227337539063,-0.002381734941346636,10.502422822929688,10.876002968515625,-0.37358014558593666
89,89,447.78894472361804,1.244623805,0.8741356135547211,0.3704881914452789,5.872716139550841,5.874848272109375,-0.002132132558534394,10.50411537828125,10.875669525234375,-0.37155414695312494
90,90,452.8090452261306,1.2464239384765627,0.8734719993359712,0.37295193914059155,5.87440302390625,5.875445960976563,-0.0010429370703128882,10.504552416054688,10.875505239804689,-0.3709528237500006
91,91,457.8291457286432,1.2460132242578124,0.8744121396094082,0.37160108464840413,5.876622867265506,5.877024581640624,-0.00040171437511826724,10.504199415996155,10.874604173789063,-0.37040475779290816
92,92,462.84924623115575,1.2441167953124999,0.8735761089453435,0.3705406863671563,5.87698866935541,5.876192621718749,0.0007960476366610791,10.502719362226562,10.874233933320312,-0.3715145710937495
